SKU do Kit,SKU do Componente,Nome do Componente,Custo no Anúncios_Kits
1222,MALIMOV35C,LINHA MONOFILAMENTO VICTOR 0.35mm (100 METROS) - 1 Unidade,0.0
1222,MALIMOV35C,LINHA MONOFILAMENTO VICTOR 0.35mm (100 METROS) - 1 Unidade,0.0
1635948,ROTKDC20-11,Kit 1635948,0.0
1635948,ROTKDC20-11,Kit 1635948,0.0
20003,ROT20003,Kit 20003,0.0
20003,ROT20003,Kit 20003,0.0
20003,ROT20003,Kit 20003,0.0
20003,ROT20003,Kit 20003,0.0
30016,ROT30016,Kit 30016,0.0
549297,MAPEBOPE,"Bóia Pequena de Isopor 8,5cm x 3,5cm x 3cm - 1 Unidade",0.0
555713,ROTKDC30-1,Kit 555713,0.0
555713,ROTKDC30-1,Kit 555713,0.0
71123,MAISAB15,MAISAB15,0.0
71123,MAISAB15,MAISAB15,0.0
719822B,ROTKDC40-2,Kit 719822B,0.0
719822B,ROTKDC40-2,Kit 719822B,0.0
726736,ROT726736,Kit 726736,0.0
ACS0080,MABP90C,Bolsa Porta Vara 90cm Camuflada - 1 Unidade,0.0
ACS0080,MABP90C,Bolsa Porta Vara 90cm Camuflada - 1 Unidade,0.0
ANG0236,MAMBSFMV,SACO P FESTA 15 X 20 - 1 Unidade,0.0
ANG0236,MAMBSFMV,SACO P FESTA 15 X 20 - 1 Unidade,0.0
ANG0236,MAMBSFMV,SACO P FESTA 15 X 20 - 1 Unidade,0.0
ANG0236,MAMBSFMV,SACO P FESTA 15 X 20 - 1 Unidade,0.0
ANG0252,MAMBR1MV,Jogo Resta Um - 1 Unidade,0.0
AV362,MABRBOVE,Boneca Belinha Com Vestido Sortido na Caixa - 1 Unidade,0.0
AV362,MABRBOVE,Boneca Belinha Com Vestido Sortido na Caixa - 1 Unidade,0.0
AV362,MABRMIC,Kit Minha Cozinha 04 Pcs - 1 Unidade,0.0
AV362,MABRMIC,Kit Minha Cozinha 04 Pcs - 1 Unidade,0.0
FER-0124,ROTFER-0124,Kit FER-0124,0.0
FROGBALLOK,MABRSQSORX,Squishy Sapinho Olhudo - 1 Unidade - roxo,0.0
FROGBALLOK,MABRSQSORX,Squishy Sapinho Olhudo - 1 Unidade - roxo,0.0
GAR0152,MACAPOR,Porta Lapis Redondo - 1 Unidade,0.0
GAR0152,MACAPOR,Porta Lapis Redondo - 1 Unidade,0.0
GAR0158,MACACES7L,Cesto de lixo Escritório 7 Litros Moderno - 1 Unidade,0.0
GAR0158,MACACES7L,Cesto de lixo Escritório 7 Litros Moderno - 1 Unidade,0.0
GAR0158,MACAPOR,Porta Lapis Redondo - 1 Unidade,0.0
GAR0158,MACAPOR,Porta Lapis Redondo - 1 Unidade,0.0
GAR0198,MABRBOMA,Bola Maluca - 1 Unidade,0.0
GAR0206,MABRKHC,KIT HORA DO CAFE C/18 - 1 Unidade,0.0
GAR0206,MABRMIC,Kit Minha Cozinha 04 Pcs - 1 Unidade,0.0
GAR0235,MABRBOVE,Boneca Belinha Com Vestido Sortido na Caixa - 1 Unidade,0.0
GAR0235,MABRBOVE,Boneca Belinha Com Vestido Sortido na Caixa - 1 Unidade,0.0
GAR0236,MABRBOMA,Bola Maluca - 1 Unidade,0.0
GAR0274,MABRKHC,KIT HORA DO CAFE C/18 - 1 Unidade,0.0
GAR0274,MABRKHC,KIT HORA DO CAFE C/18 - 1 Unidade,0.0
GAR0274,MABRKHC,KIT HORA DO CAFE C/18 - 1 Unidade,0.0
GAR0275,MABRKHC,KIT HORA DO CAFE C/18 - 1 Unidade,0.0
GAR0275,MABRKHC,KIT HORA DO CAFE C/18 - 1 Unidade,0.0
GAR0275,MABRKHC,KIT HORA DO CAFE C/18 - 1 Unidade,0.0
GAR0275,MABRKHC,KIT HORA DO CAFE C/18 - 1 Unidade,0.0
