sku,custo_anterior,custo_novo
158.1,,0.13
158.1,,0.13
Transparente,,0.04
158.1,,0.13
889590,,1.51
JY 1098,,2.02
158.1,,0.13
1180,,0.27
37877,,0.73
PA0010,,0.2698
889590,,1.51
158.1,,0.13
158.1,,0.13
1551,,0.4103
37877,,0.73
45516,,0.42
MADOPIDOMA,,0.1578
158.1,,0.13
1180,,0.27
1180,,0.27
1293944,,0.71
1293944,,0.71
49427,,0.45
49427,,0.45
573429,,0.05
573429,,0.05
763,,0.13
763,,0.13
158.1,,0.13
27102,,0.05
44903,,0.09
763,,0.13
Transparente,,0.04
158.1,,0.13
45516,,0.42
1180,,0.27
119047,,0.318
158.1,,0.13
27102,,0.05
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
889590,,1.51
158.1,,0.13
158.1,,0.13
52531,,0.12
52531,,0.12
1180,,0.27
1180,,0.27
1293944,,0.71
1293944,,0.71
41455,,0.16
41455,,0.16
44903,,0.09
44903,,0.09
49427,,0.45
49427,,0.45
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
Transparente,,0.04
Transparente,,0.04
158.1,,0.13
37877,,0.73
37877,,0.73
49427,,0.45
49427,,0.45
1148541,,0.78
27102,,0.05
PA0010,,0.2698
158.1,,0.13
889590,,1.51
0108,,0.31
0108,,0.31
1551,,0.4103
1551,,0.4103
171,,0.08
171,,0.08
27102,,0.05
27102,,0.05
39216,,8.99
39216,,8.99
49427,,0.45
49427,,0.45
50571,,0.19
50571,,0.19
52531,,0.12
52531,,0.12
158.1,,0.13
1180,,0.27
1180,,0.27
27102,,0.05
27102,,0.05
45516,,0.42
45516,,0.42
49427,,0.45
49427,,0.45
50571,,0.19
50571,,0.19
763,,0.13
763,,0.13
Transparente,,0.04
Transparente,,0.04
158.1,,0.13
171,,0.08
27102,,0.05
41455,,0.16
44903,,0.09
573429,,0.05
63432,,0.11
64371,,0.09
MADOB7BIMA,,0.05
1180,,0.27
37877,,0.73
41455,,0.16
49427,,0.45
JY 1098,,2.02
158.1,,0.13
0108,,0.31
1180,,0.27
1293944,,0.71
49427,,0.45
889590,,1.51
158.1,,0.13
0108,,0.31
1299,,0.2
49427,,0.45
573429,,0.05
MADOB7BIMA,,0.05
158.1,,0.13
1180,,0.27
1293944,,0.71
337953,,0.34
49427,,0.45
889590,,1.51
52531,,0.12
52531,,0.12
158.1,,0.13
1148541,,0.78
1180,,0.27
1293944,,0.71
337953,,0.34
49427,,0.45
MADOPASTMA,,1.47
Transparente,,0.04
1180,,0.27
27102,,0.05
37877,,0.73
41455,,0.16
49427,,0.45
158.1,,0.13
1180,,0.27
27102,,0.05
41455,,0.16
49427,,0.45
158.1,,0.13
1180,,0.27
1293944,,0.71
27102,,0.05
41455,,0.16
49427,,0.45
1110593,,0.2
1180,,0.27
1293944,,0.71
158.1,,0.13
41455,,0.16
PA0010,,0.2698
Transparente,,0.04
0108,,0.31
1180,,0.27
1293944,,0.71
27102,,0.05
0108,,0.31
1299,,0.2
1551,,0.4103
158.1,,0.13
41455,,0.16
64371,,0.09
1180,,0.27
1293944,,0.71
158.1,,0.13
171,,0.08
49427,,0.45
52531,,0.12
158.1,,0.13
158.1,,0.13
MABRANFLOMP,,0.05
MABRPUFLOMP,,0.23
0108,,0.31
1110593,,0.2
1180,,0.27
119047,,0.318
1293944,,0.71
158.1,,0.13
171,,0.08
27102,,0.05
41455,,0.16
49427,,0.45
50941,,0.11
64371,,0.09
889590,,1.51
MADOB7BIMA,,0.05
158.1,,0.13
41455,,0.16
158.1,,0.13
1180,,0.27
171,,0.08
27102,,0.05
41455,,0.16
44903,,0.09
50571,,0.19
52531,,0.12
MADOB7BIMA,,0.05
158.1,,0.13
158.1,,0.13
1180,,0.27
27102,,0.05
45516,,0.42
50571,,0.19
64371,,0.09
889590,,1.51
MADOB7BIMA,,0.05
Transparente,,0.04
1110593,,0.2
37877,,0.73
41455,,0.16
49427,,0.45
PA0010,,0.2698
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
0108,,0.31
1180,,0.27
1293944,,0.71
171,,0.08
49427,,0.45
50571,,0.19
158.1,,0.13
158.1,,0.13
158.1,,0.13
1110593,,0.2
1293944,,0.71
158.1,,0.13
41455,,0.16
573429,,0.05
158.1,,0.13
158.1,,0.13
1180,,0.27
1180,,0.27
1180,,0.27
171,,0.08
171,,0.08
27102,,0.05
27102,,0.05
41455,,0.16
41455,,0.16
44903,,0.09
44903,,0.09
52531,,0.12
52531,,0.12
MADOB7BIMA,,0.05
MADOB7BIMA,,0.05
158.1,,0.13
0108,,0.31
119047,,0.318
1293944,,0.71
158.1,,0.13
41455,,0.16
49427,,0.45
52531,,0.12
158.1,,0.13
158.1,,0.13
1110593,,0.2
1293944,,0.71
573429,,0.05
158.1,,0.13
158.1,,0.13
158.1,,0.13
1161830,,0.81
1161830,,0.81
27102,,0.05
27102,,0.05
37877,,0.73
37877,,0.73
49427,,0.45
49427,,0.45
63432,,0.11
63432,,0.11
158.1,,0.13
PA0010,,0.2698
158.1,,0.13
0108,,0.31
119047,,0.318
1293944,,0.71
158.1,,0.13
27102,,0.05
573429,,0.05
158.1,,0.13
158.1,,0.13
158.1,,0.13
1293944,,0.71
158.1,,0.13
27102,,0.05
41455,,0.16
50571,,0.19
52531,,0.12
763,,0.13
158.1,,0.13
171,,0.08
41455,,0.16
MADOB7BIMA,,0.05
1110593,,0.2
1110593,,0.2
1293944,,0.71
1293944,,0.71
573429,,0.05
573429,,0.05
0108,,0.31
1180,,0.27
158.1,,0.13
27102,,0.05
52531,,0.12
158.1,,0.13
0108,,0.31
1110593,,0.2
1180,,0.27
171,,0.08
37877,,0.73
41455,,0.16
49427,,0.45
PA0010,,0.2698
0108,,0.31
0108,,0.31
1180,,0.27
1180,,0.27
37877,,0.73
37877,,0.73
41455,,0.16
41455,,0.16
49427,,0.45
49427,,0.45
0108,,0.31
1180,,0.27
1293944,,0.71
171,,0.08
27102,,0.05
52531,,0.12
0108,,0.31
27102,,0.05
41455,,0.16
49427,,0.45
0108,,0.31
0108,,0.31
1180,,0.27
1180,,0.27
27102,,0.05
27102,,0.05
41455,,0.16
41455,,0.16
52531,,0.12
52531,,0.12
1180,,0.27
27102,,0.05
37877,,0.73
52531,,0.12
0108,,0.31
49427,,0.45
52531,,0.12
573429,,0.05
619205840061,,1.45
PA0010,,0.2698
158.1,,0.13
158.1,,0.13
0108,,0.31
119047,,0.318
171,,0.08
27102,,0.05
52531,,0.12
63432,,0.11
MADOB7BIMA,,0.05
0108,,0.31
119047,,0.318
171,,0.08
27102,,0.05
52531,,0.12
63432,,0.11
1180,,0.27
171,,0.08
27102,,0.05
41455,,0.16
52531,,0.12
MADOB7BIMA,,0.05
PA0010,,0.2698
0108,,0.31
0108,,0.31
171,,0.08
171,,0.08
41455,,0.16
41455,,0.16
158.1,,0.13
158.1,,0.13
158.1,,0.13
158.1,,0.13
41455,,0.16
41455,,0.16
45516,,0.42
45516,,0.42
49427,,0.45
49427,,0.45
50571,,0.19
50571,,0.19
PA0010,,0.2698
PA0010,,0.2698
158.1,,0.13
1110593,,0.2
1180,,0.27
119047,,0.318
158.1,,0.13
37877,,0.73
158.1,,0.13
158.1,,0.13
158.1,,0.13
0108,,0.31
0108,,0.31
1180,,0.27
1180,,0.27
158.1,,0.13
158.1,,0.13
27102,,0.05
27102,,0.05
41455,,0.16
41455,,0.16
158.1,,0.13
158.1,,0.13
45516,,0.42
0108,,0.31
158.1,,0.13
41455,,0.16
49427,,0.45
MAMBDINMP,,0.4
158.1,,0.13
158.1,,0.13
895766,,1.44
FEST01,,0.94
MABRESTF,,0.33
1180,,0.27
27102,,0.05
41455,,0.16
52531,,0.12
158.1,,0.13
158.1,,0.13
RJAP01039,,2.24
RJAP01039,,2.24
MAESKTR,,45.0
MAESKTR,,45.0
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
807909,,0.61
807909,,0.61
807909,,0.61
807909,,0.61
807909,,0.61
807909,,0.61
807909,,0.61
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
MACASUPFIJH,,13.0
A108,,14.0
A108,,14.0
MABRPC,,1.51
MABRPC,,1.51
MACALI7,,16.0
MACALI7,,16.0
MACALI7,,16.0
MACALI7,,16.0
MAESCORG3,,16.0
MAESCORG3,,16.0
MAESCORG3,,16.0
MAESCORG3,,16.0
158.1,,0.13
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
ZR0380,,10.0
ZR0380,,10.0
ZR0380,,10.0
ZR0380,,10.0
ZR0380,,10.0
ZR0380,,10.0
ZR0380,,10.0
ZR0380,,10.0
ZR0380,,10.0
ZR0380,,10.0
MAVMC27JH,,16.2
MAVMC27JH,,16.2
MAVMC27JH,,16.2
A009-GM3000,,30.0
A009-GM3000,,30.0
MAVM2P180C,,23.4
MAVM2P180C,,23.4
A016,,45.0
889590,,1.51
MAMOBKK5000C,,104.0
MAMOBKK5000C,,104.0
158.1,,0.13
7898047010020,,0.05
889590,,1.51
7898047010020,,0.05
7898047010020,,0.05
7898047010020,,0.05
A009-GM3000,,30.0
A009-GM3000,,30.0
A702,,27.0
A702,,27.0
1110593,,0.2
1180,,0.27
158.1,,0.13
41455,,0.16
573429,,0.05
PA0010,,0.2698
158.1,,0.13
10530,,2.69
619205840061,,1.45
850773,,3.05
1180,,0.27
158.1,,0.13
27102,,0.05
41455,,0.16
52531,,0.12
0108,,0.31
158.1,,0.13
52531,,0.12
63432,,0.11
MADOB7BIMA,,0.05
1180,,0.27
119047,,0.318
171,,0.08
27102,,0.05
52531,,0.12
63432,,0.11
MADOB7BIMA,,0.05
1180,,0.27
158.1,,0.13
27102,,0.05
41455,,0.16
